year,statefips,countyfips,ds_pm_pred
2012,31,31127,9.204727732240437
2014,30,30091,6.045456383561644
2011,49,49035,8.859230385758594
2013,25,25023,7.729918364383562
2013,30,30055,4.982497808219178
2013,42,42025,8.950893059360731
2014,20,20045,9.418394246575342
2011,56,56021,5.528635496151337
2011,17,17053,10.217504274520548
2014,1,1105,10.364986301369863
2011,48,48375,7.828487331103948
2012,21,21111,10.802453920979601
2014,46,46087,7.033877397260274
2012,19,19043,9.382438433515483
2011,13,13181,10.543856468493151
2014,41,41019,7.141409153175592
2011,36,36109,8.39753654842168
2012,56,56041,6.340938342440802
2013,6,6091,6.927127780821918
2014,13,13019,10.398982465753425
2011,49,49039,5.913838617534247
2014,29,29123,9.806896529680365
2014,5,5031,10.442804319097502
2011,5,5011,9.989187402739726
2014,1,1035,9.933427287671233
2012,28,28133,9.90156850117096
2011,41,41059,6.975152535890411
2014,24,24021,9.578544576689872
2014,6,6051,5.453063470319635
2014,54,54007,8.893381095890411
2013,21,21237,8.709794520547945
2011,21,21177,10.424867449619482
2013,54,54061,8.96314549086758
2011,20,20153,6.976198602739726
2014,51,51760,9.048226268161063
2013,55,55081,8.567026849315068
2013,16,16037,5.123792712328767
2011,18,18153,11.066272356712329
2012,13,13025,7.737948879781421
2014,32,32001,6.539539788649706
2014,24,24019,8.889849101978691
2014,38,38071,5.490249863013699
2012,39,39161,11.135026017000607
2013,42,42041,10.435872809616998
2014,51,51620,8.759719863013699
2011,39,39129,11.054006469336143
2013,32,32001,6.25596023483366
2012,27,27115,8.0956875
2011,48,48277,9.567549493835616
2012,13,13137,8.982889446721312
2014,19,19097,9.924338630136986
2012,6,6031,12.469347520744788
2012,28,28127,9.217472240437158
2011,48,48049,8.020338360273973
2013,18,18125,10.929758287671233
2013,19,19095,9.627982226027397
2011,31,31143,8.466782306849315
2013,5,5005,9.023506940639269
2014,22,22003,8.828002849315068
2011,27,27157,9.272110151141552
2014,6,6025,9.249413205479452
2011,30,30097,5.447619504109589
2013,29,29169,8.958002691019787
2013,12,12125,6.944290228310502
2014,22,22007,8.862591689497717
2011,51,51735,8.981163617351598
2012,30,30107,5.383152459016393
2011,18,18163,11.554107610008387
2013,23,23021,5.875482684931507
2012,29,29083,9.025353506375228
2013,17,17121,9.97221200913242
2012,51,51163,8.347010382513661
2014,37,37145,9.858214011741683
2013,36,36103,8.231533129583936
2011,48,48291,9.533372664970646
2012,18,18147,10.856548196721312
2014,1,1117,11.608919817351598
2011,55,55027,9.936941826849315
2011,25,25001,7.537917682338552
2014,45,45073,9.516771378995434
2011,40,40017,9.717992891544639
2014,29,29073,9.55553245479452
2014,31,31139,7.769516301369863
2013,22,22029,8.247328997260274
2011,8,8061,6.192647975342466
2011,53,53047,5.617885416712329
2013,12,12113,8.079669446575342
2012,54,54097,8.49583885701275
2011,21,21053,9.601606966210046
2011,56,56013,6.369098621643836
2013,20,20103,9.554054794520548
2014,35,35009,6.832100410958904
2011,37,37019,8.723459571108344
2012,22,22075,7.215183667273831
2011,29,29203,9.183809043835616
2014,5,5137,9.36308703196347
2014,38,38081,5.70697095890411
2011,54,54087,10.119436026027397
2013,31,31041,6.545162397260274
2011,5,5081,10.32242637739726
2011,6,6009,7.490274852054794
2011,51,51047,8.684456589041096
2013,17,17029,10.288177397260274
2011,28,28159,9.608958741917808
2012,46,46127,9.227393260473588
2012,35,35021,5.355378142076503
2014,21,21155,10.587419086757991
2013,42,42013,9.204016357775987
2011,16,16035,6.546192312328767
2014,48,48377,5.661869369863014
2014,21,21069,9.838274589041096
2012,8,8109,4.392364754098361
2011,5,5133,10.106704010958904
2012,21,21139,9.810482240437158
2014,28,28035,9.554903062046736
2013,46,46031,5.638598534246575
2014,10,10003,10.194149530031612
2012,31,31113,6.628673224043716
2011,12,12077,8.813972473972603
2012,47,47185,9.052311520947177
2014,21,21143,10.641680913242009
2014,5,5053,9.841895205479452
2011,22,22009,8.774351215829528
2013,6,6077,11.416964919680694
2011,30,30003,5.905803944109589
2011,12,12045,8.255352069406393
2011,50,50005,7.348693691506849
2011,46,46091,7.302033380821918
2013,17,17077,9.822282602739726
2011,39,39051,10.44577475890411
2012,20,20075,6.889350273224044
2014,55,55045,9.859005582191781
2012,18,18051,10.78851975019516
2014,13,13301,10.606437808219178
2013,51,51113,7.835450136986301
